run_id,measurement_id,sample_id,event_id,protocol_id,protocol_version,instrument_id,configuration_id,operator,timestamp,measurement,value,unit,status,qc_status,criterion_id,standard_id,preparation_id,replicate,read_repeat,matrix,dilution_factor,blank_id,calibration_id,adaptation_id,artifact,checksum,derived_from,notes
FICTIONAL-001,blank-start,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T09:05:00+00:00,raw_fluorescence,10,RFU,measured,pending,limits1,blank,blankprep,blankprep,1,buffer,1,,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,blank-end,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T11:50:00+00:00,raw_fluorescence,11,RFU,measured,pending,limits1,blank,blankprep,blankprep,2,buffer,1,,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal1-prep1-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,108.75,RFU,measured,pending,limits1,cal1,cal1-prep1,cal1-prep1,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal1-prep1-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,109.25,RFU,measured,pending,limits1,cal1,cal1-prep1,cal1-prep1,2,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal1-prep2-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,109.75,RFU,measured,pending,limits1,cal1,cal1-prep2,cal1-prep2,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal1-prep2-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,110.25,RFU,measured,pending,limits1,cal1,cal1-prep2,cal1-prep2,2,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal1-prep3-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,110.75,RFU,measured,pending,limits1,cal1,cal1-prep3,cal1-prep3,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal1-prep3-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,111.25,RFU,measured,pending,limits1,cal1,cal1-prep3,cal1-prep3,2,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal3-prep1-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,308.75,RFU,measured,pending,limits1,cal3,cal3-prep1,cal3-prep1,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal3-prep1-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,309.25,RFU,measured,pending,limits1,cal3,cal3-prep1,cal3-prep1,2,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal3-prep2-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,309.75,RFU,measured,pending,limits1,cal3,cal3-prep2,cal3-prep2,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal3-prep2-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,310.25,RFU,measured,pending,limits1,cal3,cal3-prep2,cal3-prep2,2,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal3-prep3-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,310.75,RFU,measured,pending,limits1,cal3,cal3-prep3,cal3-prep3,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal3-prep3-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,311.25,RFU,measured,pending,limits1,cal3,cal3-prep3,cal3-prep3,2,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal6-prep1-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,608.75,RFU,measured,pending,limits1,cal6,cal6-prep1,cal6-prep1,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal6-prep1-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,609.25,RFU,measured,pending,limits1,cal6,cal6-prep1,cal6-prep1,2,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal6-prep2-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,609.75,RFU,measured,pending,limits1,cal6,cal6-prep2,cal6-prep2,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal6-prep2-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,610.25,RFU,measured,pending,limits1,cal6,cal6-prep2,cal6-prep2,2,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal6-prep3-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,610.75,RFU,measured,pending,limits1,cal6,cal6-prep3,cal6-prep3,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,cal6-prep3-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,611.25,RFU,measured,pending,limits1,cal6,cal6-prep3,cal6-prep3,2,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,check-d10-prep1-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,509.0,RFU,measured,pending,limits1,check50,check-d10-prep1,check-d10-prep1,1,buffer,10,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,check-d10-prep1-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,509.0,RFU,measured,pending,limits1,check50,check-d10-prep1,check-d10-prep1,2,buffer,10,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,check-d10-prep2-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,511.0,RFU,measured,pending,limits1,check50,check-d10-prep2,check-d10-prep2,1,buffer,10,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,check-d10-prep2-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,511.0,RFU,measured,pending,limits1,check50,check-d10-prep2,check-d10-prep2,2,buffer,10,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,check-d20-prep1-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,259.0,RFU,measured,pending,limits1,check50,check-d20-prep1,check-d20-prep1,1,buffer,20,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,check-d20-prep1-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,259.0,RFU,measured,pending,limits1,check50,check-d20-prep1,check-d20-prep1,2,buffer,20,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,check-d20-prep2-read1,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,261.0,RFU,measured,pending,limits1,check50,check-d20-prep2,check-d20-prep2,1,buffer,20,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,check-d20-prep2-read2,,,FICTIONAL-STANDARDS,1,fluorometer,optics1,fictional,2026-09-18T10:00:00+00:00,raw_fluorescence,261.0,RFU,measured,pending,limits1,check50,check-d20-prep2,check-d20-prep2,2,buffer,20,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,span1,,,FICTIONAL-STANDARDS,1,microscope,objective1,fictional,2026-09-18T10:00:00+00:00,scale_span_pixels,2000,pixel,measured,pending,limits1,,,,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,span2,,,FICTIONAL-STANDARDS,1,microscope,objective1,fictional,2026-09-18T10:00:00+00:00,scale_span_pixels,4000,pixel,measured,pending,limits1,,,,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,span3,,,FICTIONAL-STANDARDS,1,microscope,objective1,fictional,2026-09-18T10:00:00+00:00,scale_span_pixels,1990,pixel,measured,pending,limits1,,,,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
FICTIONAL-001,span4,,,FICTIONAL-STANDARDS,1,microscope,objective1,fictional,2026-09-18T10:00:00+00:00,scale_span_pixels,2010,pixel,measured,pending,limits1,,,,1,buffer,1,blank-start,curve1,,raw/readings.txt,sha256:7c9f70f06c26b5fd92325c73273da2b50940411b87c5f0ed9aaca3fef2510bc5,,FICTIONAL generated observation
